Date,Payee,Account #,Transaction Type,Description,Reference,Status,Amount,Currency,Balance
2/17/2026,Operations,6604,Receive-transfer,,"Tax - Feb 15",SETTLED,+18.00,USD,537.64
2/2/2026,Relay,,Receive,,"Interest January 2026",SETTLED,+0.33,USD,519.64
