Date,Payee,Account #,Transaction Type,Description,Reference,Status,Amount,Currency,Balance
4/7/2026,Operations,6604,Receive-transfer,,"Transfer",SETTLED,+2.50,USD,597.82
4/3/2026,Operations,6604,Receive-transfer,,"Taxes",SETTLED,+56.90,USD,595.32
4/2/2026,Relay,,Receive,,"Interest March 2026",SETTLED,+0.41,USD,538.42
